Session ID;Player ID;Time Stamp;Session Type
19218;;175.297;False
19218;;1.293.736;True
65517;guillemaj;1.753.056;False
65517;guillemaj;1.356.853;True
47251;;1.656.549;False
47251;;1.856.285;True
63151;marcdp;1.656.654;False
63151;marcdp;1.955.814;True
6833;;1.661.446;False
6833;;1.436.814;True
56979;ferrando;1.661.528;False
56979;ferrando;1.506.793;True
29222;;1.648.889;False
29222;;4.145.419;True
23348;ferrando;1.648.969;False
23348;ferrando;4.362.882;True
31578;;1.745.464;False
31578;;1.168.052;True
38470;polcar;1.745.563;False
38470;polcar;1.222.021;True
